0.29	0.53	0.24	0.18	0.91	0.41	0.34	0.32	0.35	0.85
0.33	0.52	0.59	0.38	0.10	0.26	0.07	0.31	0.31	0.22
0.54	0.16	0.20	0.87	0.84	0.12	0.53	0.01	0.06	0.56
0.74	0.18	0.88	0.95	0.08	0.91	0.11	0.86	0.89	0.49
0.06	0.87	0.57	0.66	0.11	0.14	0.94	0.38	0.17	0.21
0.91	0.82	0.87	0.33	0.17	0.77	0.40	0.52	0.99	0.99
0.17	0.81	0.16	0.93	0.90	0.02	0.18	0.25	0.55	0.90
0.70	0.57	0.26	0.98	0.34	0.85	0.65	0.64	0.08	0.69
0.39	0.77	0.03	0.28	0.66	0.90	0.39	0.95	0.24	0.98
0.65	0.14	0.23	0.62	0.28	0.20	0.78	0.56	0.60	0.83
0.94	0.59	0.78	0.05	0.74	0.25	0.67	0.07	0.68	0.06
0.23	0.90	0.56	0.03	0.54	0.70	0.12	0.86	0.67	0.85
0.76	0.35	0.01	0.42	0.04	0.48	0.49	0.65	0.92	0.48
0.45	0.20	0.89	0.10	0.24	0.68	0.80	0.77	0.33	0.60
0.60	0.85	0.93	0.73	0.21	0.20	0.94	0.53	0.83	0.66
0.93	0.23	0.14	0.05	0.57	0.17	0.51	0.51	0.71	0.88
0.97	0.64	0.03	0.16	0.41	0.74	0.63	0.85	0.83	0.39
0.54	0.60	0.48	0.99	0.62	0.18	0.37	0.14	0.84	0.21
0.60	0.28	0.24	0.89	0.43	0.47	0.44	0.21	0.49	0.62
0.11	0.60	0.76	0.10	0.80	0.90	0.35	0.34	0.00	0.54
0.85	0.41	0.67	0.90	0.74	0.77	0.18	0.66	0.14	0.65
0.30	0.43	0.98	0.11	0.00	0.48	0.63	0.06	0.82	0.72
0.41	0.35	0.49	0.57	0.99	0.65	0.26	0.24	0.02	0.72
0.35	0.65	0.62	0.95	0.97	0.78	0.23	0.13	0.10	0.70
0.23	0.44	0.66	0.81	0.69	0.23	0.27	0.76	0.27	0.89
0.38	0.93	0.26	0.15	0.37	0.92	0.33	0.18	0.85	0.31
0.40	0.86	0.71	0.13	0.60	0.06	0.03	0.23	0.33	0.04
0.55	0.64	0.54	0.63	0.91	0.36	0.46	0.68	0.06	0.38
0.81	0.03	0.97	0.81	0.34	0.26	0.64	0.88	0.12	0.72
0.56	0.97	0.17	0.73	0.62	0.00	0.34	0.71	0.60	0.57
0.09	0.94	0.52	0.62	0.06	0.25	0.72	0.29	0.08	0.61
0.41	0.59	0.17	0.98	0.85	0.26	0.81	0.01	0.18	0.53
0.76	0.01	0.93	0.07	0.12	0.49	0.14	0.71	0.72	0.48
0.66	0.41	0.91	0.97	0.45	0.42	0.80	0.15	0.69	0.37
0.99	0.41	0.17	0.86	0.21	0.47	0.58	0.79	0.17	0.51
0.54	0.71	0.57	0.59	0.98	0.45	0.80	0.96	0.87	0.85
0.87	0.56	0.30	0.87	0.02	0.13	0.04	0.89	0.31	0.02
0.54	0.66	0.44	0.24	0.15	0.35	0.29	0.04	0.66	0.14
0.52	0.99	0.44	0.93	0.33	0.92	0.94	0.01	0.09	0.16
0.87	0.13	0.93	0.62	0.50	0.53	0.83	0.07	0.28	0.64
0.29	0.43	0.77	0.71	0.14	0.40	0.40	0.51	0.00	0.69
0.23	0.43	0.89	0.75	0.59	0.29	0.40	0.95	0.75	0.23
0.24	0.01	0.29	0.78	0.75	0.08	0.50	0.56	0.94	0.08
0.28	0.19	0.76	0.01	0.86	0.25	0.58	0.28	0.35	0.83
0.40	0.38	0.64	0.90	0.98	0.21	0.35	0.09	0.36	0.41
0.47	0.52	0.78	0.90	0.17	0.60	0.83	0.87	0.00	0.32
0.09	0.13	0.21	0.95	0.96	0.16	0.64	0.61	0.28	0.71
0.91	0.09	0.82	0.30	0.76	0.69	0.12	0.64	0.34	0.07
0.98	0.39	0.37	0.65	0.51	0.55	0.83	0.87	0.76	0.86
0.89	0.62	0.64	0.72	0.46	0.74	0.22	0.58	0.51	0.96
0.35	0.12	0.87	0.70	0.27	0.00	0.35	0.51	0.80	0.79
0.45	0.87	0.79	0.66	0.32	0.20	0.91	0.15	0.33	0.50
0.65	0.94	0.98	0.54	0.50	0.13	0.27	0.35	0.17	0.25
0.65	0.01	0.44	0.75	0.09	0.17	0.68	0.80	0.27	0.45
0.66	0.19	0.24	0.75	0.29	0.19	0.35	0.93	0.82	0.95
0.38	0.01	0.15	0.36	0.21	0.32	1.00	0.32	0.92	0.05
0.54	0.25	0.94	0.76	0.44	0.22	0.05	0.10	0.32	0.43
0.62	0.18	0.72	0.39	0.24	0.83	0.96	0.00	0.64	0.47
0.70	0.48	0.20	0.98	0.05	0.69	0.79	0.66	0.20	0.46
0.33	0.94	0.45	0.74	0.23	0.94	0.82	0.79	0.05	0.88
0.68	0.31	0.72	0.65	0.58	0.90	0.48	0.22	0.30	0.32
